45	67 89
101 112 134
156	178
190 212	234 256
278 290
312	334
356 378	390 412
434 456
478 490	512 534
556 578	590
612 634	656 678
690 712 734
756 778	790
812 834	856
878 890	912
934 956
978 990 1012
1034 1056	1078
1090 1112
1134 1156	1178 1190
1212 1234	1256
1278 1290
1312 1334	1356 1378
1390 1412
1434 1456	1478 1490
1512 1534	1556
1578 1590	1612 1634
1656 1678	1690
1712 1734	1756
1778 1790	1812
1834 1856	1878
1890 1912	1934
1956 1978	1990 2012
2034 2056	2078
2090 2112 2134
2156 2178	2190 2212
2234 2256
2278 2290	2312
2334 2356	2378 2390
2412 2434
2456 2478	2490 2512
2534 2556	2578 2590
2612 2634	2656
2678 2690	2712
2734 2756	2778
2790 2812	2834
2856 2878	2890 2912
2934 2956	2978
2990 3012	3034
3056 3078	3090
3112 3134	3156 3178
3190 3212	3234
3256 3278	3290
3312 3334	3356
3378 3390	3412
3434 3456	3478
3490 3512	3534 3556
3578 3590	3612
3634 3656	3678
3690 3712	3734
3756 3778	3790
3812 3834	3856
3878 3890	3912 3934
3956 3978	3990
4012 4034	4056
4078 4090	4112
4134 4156	4178
4190 4212	4234
4256 4278	4290
4312 4334	4356 4378
4390 4412	4434
4456 4478	4490
4512 4534	4556
4578 4590	4612
4634 4656	4678 4690
4712 4734	4756
4778 4790	4812
4834 4856	4878
4890 4912	4934
4956 4978	4990
5012 5034	5056 5078
5090 5112	5134
5156 5178	5190
5212 5234	5256
5278 5290	5312
5334 5356	5378
5390 5412	5434
5456 5478	5490 5512
5534 5556	5578
5590 5612	5634
5656 5678	5690
5712 5734	5756
5778 5790	5812
5834 5856	5878 5890
5912 5934	5956
5978 5990	6012
6034 6056	6078
6090 6112	6134
6156 6178	6190
6212 6234	6256
6278 6290	6312 6334
6356 6378	6390
6412 6434	6456
6478 6490	6512
6534 6556	6578
6590 6612	6634
6656 6678	6690 6712
6734 6756	6778
6790 6812	6834
6856 6878	6890
6912 6934	6956
6978 6990	7012
7034 7056	7078
7090 7112	7134 7156
7178 7190	7212
7234 7256	7278
7290 7312	7334
7356 7378	7390
7412 7434	7456
7478 7490	7512 7534
7556 7578	7590
7612 7634	7656
7678 7690	7712
7734 7756	7778
7790 7812	7834
7856 7878	7890 7912
7934 7956	7978
7990 8012	8034
8056 8078	8090
8112 8134	8156
8178 8190	8212
8234 8256	8278
8290 8312	8334 8356
8378 8390	8412
8434 8456	8478
8490 8512	8534
8556 8578	8590
8612 8634	8656
8678 8690	8712 8734
8756 8778	8790
8812 8834	8856
8878 8890	8912
8934 8956	8978
8990 9012	9034
9056 9078	9090 9112
9134 9156	9178
9190 9212	9234
9256 9278	9290
9312 9334	9356
9378 9390	9412
9434 9456	9478 9490
9512 9534	9556
9578 9590	9612
9634 9656	9678
9690 9712	9734
9756 9778	9790
9812 9834	9856 9878
9890 9912	9934
9956 9978	9990 6
